ASCII SAMPLE CYCLES :			coverage dependence of o2  ramp4 exp2.mdc
DATE :	12/3/2019	TIME :	12:02:45 PM
CONVERTED CYCLES :			4090
Number of stored cycles			4090
Printed start cycle			1
Printed end cycle			4090
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	32.00	min:	7.80508E-011	max:	3.49099E-008	
Datablock 1	Temp	[K]	
'1/0'	Temp	min:	93.9046	max:	1372.39	
Cycle	Date	Time	RelTime[s]	'0/0'	'1/0'	
2004	12/3/2019	12:10:19:61 PM	454.61	1.16389E-010	300.584	
2005	12/3/2019	12:10:19:82 PM	454.828	1.15752E-010	301.599	
2006	12/3/2019	12:10:20:04 PM	455.047	1.14478E-010	302.388	
2007	12/3/2019	12:10:20:26 PM	455.266	1.10656E-010	303.14	
2008	12/3/2019	12:10:20:48 PM	455.485	1.10565E-010	304.643	
2009	12/3/2019	12:10:20:71 PM	455.719	1.17936E-010	305.845	
2010	12/3/2019	12:10:20:93 PM	455.938	1.1036E-010	306.935	
2011	12/3/2019	12:10:21:15 PM	456.156	1.1375E-010	307.837	
2012	12/3/2019	12:10:21:37 PM	456.375	1.07744E-010	309.791	
2013	12/3/2019	12:10:21:59 PM	456.594	1.08525E-010	311.482	
2014	12/3/2019	12:10:21:81 PM	456.813	1.09564E-010	313.248	
2015	12/3/2019	12:10:22:03 PM	457.031	1.14933E-010	314.789	
2016	12/3/2019	12:10:22:25 PM	457.25	1.17208E-010	316.33	
2017	12/3/2019	12:10:22:46 PM	457.469	1.08381E-010	318.021	
2018	12/3/2019	12:10:22:70 PM	457.703	1.11028E-010	319.561	
2019	12/3/2019	12:10:22:92 PM	457.922	1.1648E-010	320.689	
2020	12/3/2019	12:10:23:14 PM	458.141	1.1284E-010	322.755	
2021	12/3/2019	12:10:23:36 PM	458.36	1.12567E-010	324.146	
2022	12/3/2019	12:10:23:57 PM	458.578	1.15388E-010	325.874	
2023	12/3/2019	12:10:23:79 PM	458.797	1.12658E-010	327.528	
2024	12/3/2019	12:10:24:01 PM	459.016	1.09746E-010	328.768	
2025	12/3/2019	12:10:24:25 PM	459.25	1.09291E-010	330.797	
2026	12/3/2019	12:10:24:46 PM	459.469	1.07835E-010	332.638	
2027	12/3/2019	12:10:24:70 PM	459.703	1.16116E-010	334.63	
2028	12/3/2019	12:10:24:93 PM	459.938	1.08199E-010	335.908	
2029	12/3/2019	12:10:25:15 PM	460.156	1.11111E-010	337.749	
2030	12/3/2019	12:10:25:37 PM	460.375	1.1284E-010	339.478	
2031	12/3/2019	12:10:25:59 PM	460.594	1.11839E-010	341.094	
2032	12/3/2019	12:10:25:81 PM	460.813	1.1466E-010	343.235	
2033	12/3/2019	12:10:26:03 PM	461.031	1.10565E-010	344.588	
2034	12/3/2019	12:10:26:26 PM	461.266	1.11566E-010	346.805	
2035	12/3/2019	12:10:26:48 PM	461.485	1.11202E-010	348.534	
2036	12/3/2019	12:10:26:70 PM	461.703	1.14842E-010	350.338	
2037	12/3/2019	12:10:26:92 PM	461.922	1.07016E-010	351.465	
2038	12/3/2019	12:10:27:14 PM	462.141	1.17117E-010	352.743	
2039	12/3/2019	12:10:27:36 PM	462.36	1.10019E-010	354.96	
2040	12/3/2019	12:10:27:59 PM	462.594	1.11748E-010	356.951	
2041	12/3/2019	12:10:27:81 PM	462.813	1.10747E-010	358.868	
2042	12/3/2019	12:10:28:03 PM	463.031	1.13659E-010	360.371	
