ASCII SAMPLE CYCLES :			coverage dependence of o2  ramp4 exp3.mdc
DATE :	12/3/2019	TIME :	12:18:46 PM
CONVERTED CYCLES :			4007
Number of stored cycles			4007
Printed start cycle			1
Printed end cycle			4007
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	32.00	min:	8.6623E-011	max:	2.33688E-008	
Datablock 1	Temp	[K]	
'1/0'	Temp	min:	96.0841	max:	1371.97	
Cycle	Date	Time	RelTime[s]	'0/0'	'1/0'	
1935	12/3/2019	12:25:59:04 PM	433.047	1.22759E-010	300.133	
1936	12/3/2019	12:25:59:26 PM	433.266	1.21212E-010	300.735	
1937	12/3/2019	12:25:59:48 PM	433.485	1.21303E-010	301.561	
1938	12/3/2019	12:25:59:71 PM	433.719	1.22668E-010	303.14	
1939	12/3/2019	12:25:59:93 PM	433.938	1.19392E-010	304.079	
1940	12/3/2019	12:26:00:17 PM	434.172	1.17299E-010	305.056	
1941	12/3/2019	12:26:00:39 PM	434.391	1.2103E-010	306.597	
1942	12/3/2019	12:26:00:61 PM	434.61	1.2285E-010	307.574	
1943	12/3/2019	12:26:00:82 PM	434.829	1.21485E-010	309.115	
1944	12/3/2019	12:26:01:04 PM	435.047	1.17754E-010	310.881	
1945	12/3/2019	12:26:01:26 PM	435.266	1.13659E-010	312.083	
1946	12/3/2019	12:26:01:48 PM	435.485	1.22031E-010	313.812	
1947	12/3/2019	12:26:01:70 PM	435.704	1.20484E-010	315.879	
1948	12/3/2019	12:26:01:93 PM	435.938	1.14205E-010	317.194	
1949	12/3/2019	12:26:02:15 PM	436.157	1.24215E-010	318.584	
1950	12/3/2019	12:26:02:37 PM	436.375	1.19665E-010	320.35	
1951	12/3/2019	12:26:02:59 PM	436.594	1.20211E-010	322.342	
1952	12/3/2019	12:26:02:81 PM	436.813	1.18664E-010	323.244	
1953	12/3/2019	12:26:03:04 PM	437.047	1.23487E-010	325.236	
1954	12/3/2019	12:26:03:26 PM	437.266	1.24397E-010	326.701	
1955	12/3/2019	12:26:03:48 PM	437.485	1.14842E-010	327.678	
1956	12/3/2019	12:26:03:70 PM	437.704	1.20575E-010	329.858	
1957	12/3/2019	12:26:03:92 PM	437.922	1.27855E-010	331.661	
1958	12/3/2019	12:26:04:14 PM	438.141	1.20757E-010	333.39	
1959	12/3/2019	12:26:04:37 PM	438.375	1.23396E-010	335.306	
1960	12/3/2019	12:26:04:59 PM	438.594	1.27855E-010	337.035	
1961	12/3/2019	12:26:04:81 PM	438.813	1.20757E-010	338.726	
1962	12/3/2019	12:26:05:03 PM	439.032	1.18573E-010	340.116	
1963	12/3/2019	12:26:05:25 PM	439.25	1.19665E-010	341.92	
1964	12/3/2019	12:26:05:46 PM	439.469	1.2649E-010	343.649	
1965	12/3/2019	12:26:05:68 PM	439.688	1.22668E-010	345.077	
1966	12/3/2019	12:26:05:90 PM	439.907	1.17481E-010	347.031	
1967	12/3/2019	12:26:06:12 PM	440.125	1.16207E-010	348.534	
1968	12/3/2019	12:26:06:36 PM	440.36	1.16025E-010	350.225	
1969	12/3/2019	12:26:06:57 PM	440.579	1.25944E-010	351.728	
1970	12/3/2019	12:26:06:79 PM	440.797	1.21485E-010	353.569	
1971	12/3/2019	12:26:07:01 PM	441.016	1.22941E-010	355.486	
1972	12/3/2019	12:26:07:25 PM	441.25	1.21121E-010	357.29	
1973	12/3/2019	12:26:07:48 PM	441.485	1.15752E-010	358.755	
1974	12/3/2019	12:26:07:70 PM	441.704	1.19301E-010	360.371	
1975	12/3/2019	12:26:07:92 PM	441.922	1.15388E-010	362.212	
1976	12/3/2019	12:26:08:14 PM	442.141	1.20393E-010	364.054	
1977	12/3/2019	12:26:08:37 PM	442.375	1.18755E-010	365.745	
1978	12/3/2019	12:26:08:59 PM	442.594	1.19392E-010	367.398	
1979	12/3/2019	12:26:08:81 PM	442.813	1.21394E-010	369.164	
1980	12/3/2019	12:26:09:03 PM	443.032	1.23123E-010	370.893	
1981	12/3/2019	12:26:09:26 PM	443.266	1.18118E-010	372.772	
1982	12/3/2019	12:26:09:48 PM	443.485	1.20393E-010	374.726	
1983	12/3/2019	12:26:09:70 PM	443.704	1.26581E-010	376.53	
1984	12/3/2019	12:26:09:93 PM	443.938	1.23123E-010	378.409	
1985	12/3/2019	12:26:10:15 PM	444.157	1.21394E-010	380.287	
1986	12/3/2019	12:26:10:37 PM	444.375	1.21303E-010	381.866	
1987	12/3/2019	12:26:10:59 PM	444.594	1.27711E-010	383.256	
1988	12/3/2019	12:26:10:81 PM	444.813	1.22941E-010	385.173	
1989	12/3/2019	12:26:11:03 PM	445.032	1.21576E-010	387.014	
1990	12/3/2019	12:26:11:26 PM	445.266	1.21849E-010	388.592	
1991	12/3/2019	12:26:11:48 PM	445.485	1.12567E-010	390.283	
1992	12/3/2019	12:26:11:70 PM	445.704	1.17572E-010	392.162	
1993	12/3/2019	12:26:11:92 PM	445.922	1.26581E-010	393.665	
1994	12/3/2019	12:26:12:14 PM	446.141	1.1739E-010	395.356	
1995	12/3/2019	12:26:12:36 PM	446.36	1.19483E-010	397.085	
1996	12/3/2019	12:26:12:59 PM	446.594	1.19301E-010	399.001	
1997	12/3/2019	12:26:12:81 PM	446.813	1.24215E-010	400.692	
1998	12/3/2019	12:26:13:03 PM	447.032	1.20302E-010	402.383	
1999	12/3/2019	12:26:13:25 PM	447.25	1.2103E-010	404.262	
2000	12/3/2019	12:26:13:46 PM	447.469	1.24579E-010	405.765	
2001	12/3/2019	12:26:13:70 PM	447.704	1.27044E-010	407.456	
2002	12/3/2019	12:26:13:92 PM	447.922	1.21485E-010	408.96	
2003	12/3/2019	12:26:14:14 PM	448.141	1.24397E-010	411.026	
2004	12/3/2019	12:26:14:36 PM	448.36	1.2376E-010	412.755	
2005	12/3/2019	12:26:14:57 PM	448.579	1.21667E-010	414.634	
2006	12/3/2019	12:26:14:79 PM	448.797	1.18027E-010	416.212	
2007	12/3/2019	12:26:15:01 PM	449.016	1.1921E-010	418.129	
2008	12/3/2019	12:26:15:25 PM	449.25	1.24306E-010	420.346	
2009	12/3/2019	12:26:15:46 PM	449.469	1.20302E-010	421.924	
2010	12/3/2019	12:26:15:68 PM	449.688	1.26581E-010	423.164	
2011	12/3/2019	12:26:15:90 PM	449.907	1.20302E-010	425.118	
2012	12/3/2019	12:26:16:12 PM	450.125	1.24306E-010	426.584	
2013	12/3/2019	12:26:16:36 PM	450.36	1.16753E-010	428.237	
2014	12/3/2019	12:26:16:57 PM	450.579	1.23032E-010	430.304	
2015	12/3/2019	12:26:16:79 PM	450.797	1.16025E-010	431.506	
2016	12/3/2019	12:26:17:01 PM	451.016	1.21849E-010	433.273	
2017	12/3/2019	12:26:17:23 PM	451.235	1.20575E-010	434.851	
2018	12/3/2019	12:26:17:45 PM	451.454	1.18209E-010	436.655	
2019	12/3/2019	12:26:17:67 PM	451.672	1.20666E-010	438.383	
2020	12/3/2019	12:26:17:89 PM	451.891	1.1739E-010	439.774	
2021	12/3/2019	12:26:18:11 PM	452.11	1.19574E-010	441.803	
