index	scenario_id	compound_id	compound_name	smiles	canonicalize_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp
11	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/dbaef785-48f9-4710-9e45-5d327b820fd1	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/33c06994-78aa-431c-866b-2efffad1170a/structure/b49ef514-9be3-4df5-8a54-6a27e24f28cd	Amlodipine	CCOC(=O)C1=C(COCCN)NC(=C(C1C2=C(C=CC=C2)Cl)C(=O)OC)C	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	3.12	d	true	no comment					6.0	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
12	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/fd51e137-9ceb-4838-8e27-61ceae2db5bb	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/33c06994-78aa-431c-866b-2efffad1170a/structure/b49ef514-9be3-4df5-8a54-6a27e24f28cd	Amlodipine	CCOC(=O)C1=C(COCCN)NC(=C(C1C2=C(C=CC=C2)Cl)C(=O)OC)C	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	0.05	d	true	<					6.8	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
13	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/5c91e023-e9c6-4095-90bd-503c6b5ef21b	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/06067a20-a99a-439c-8d3f-cc62db7a93c3/structure/05f89fc7-682d-471e-840c-3113ccbbfcb9	Atazanavir	CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=NC=CC=C3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	14.844999999999999	d	true	DT50 Max [days] > 19.74					5.9	pH			50.0	mL				0.6	0.6	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
14	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/429825a7-fdf9-4747-a4c8-420ecac43c6b	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/06067a20-a99a-439c-8d3f-cc62db7a93c3/structure/05f89fc7-682d-471e-840c-3113ccbbfcb9	Atazanavir	CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=NC=CC=C3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	3.0	d	true	no comment					6.8	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
15	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/2d1244d2-0900-457f-8da7-ec3c54731975	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/06067a20-a99a-439c-8d3f-cc62db7a93c3/structure/05f89fc7-682d-471e-840c-3113ccbbfcb9	Atazanavir	CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=NC=CC=C3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	19.74	d	true	>					6.0	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
16	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/a96b1d98-787e-4f33-bc1c-dc9cfeb2854f	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/06067a20-a99a-439c-8d3f-cc62db7a93c3/structure/05f89fc7-682d-471e-840c-3113ccbbfcb9	Atazanavir	CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=NC=CC=C3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC	COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	8.579999999999998	d	true	no comment					8.3	pH			50.0	mL				0.6	0.6	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
17	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/48af054b-2b5e-43c9-aff0-40e419982d61	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/aa1db382-8d25-48f6-8c5e-3a03f02b5cbb/structure/2cc84c8b-5596-47fb-8746-67b364e53ec2	Atomoxetine	CC1=C(C=CC=C1)O[C@H](CCNC)C2=CC=CC=C2	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	19.74	d	true	>					6.8	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
18	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/c2d2ac95-f7a9-46f7-80b8-5e066eb168cb	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/aa1db382-8d25-48f6-8c5e-3a03f02b5cbb/structure/2cc84c8b-5596-47fb-8746-67b364e53ec2	Atomoxetine	CC1=C(C=CC=C1)O[C@H](CCNC)C2=CC=CC=C2	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	19.74	d	true	>					5.9	pH			50.0	mL				0.6	0.6	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
19	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/58d9d48c-72eb-4cc6-b0f3-a5c5992d2e74	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/aa1db382-8d25-48f6-8c5e-3a03f02b5cbb/structure/2cc84c8b-5596-47fb-8746-67b364e53ec2	Atomoxetine	CC1=C(C=CC=C1)O[C@H](CCNC)C2=CC=CC=C2	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	19.74	d	true	>					8.3	pH			50.0	mL				0.6	0.6	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
20	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/6ae07ef0-0413-4512-ad5b-d62d620366a9	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/aa1db382-8d25-48f6-8c5e-3a03f02b5cbb/structure/2cc84c8b-5596-47fb-8746-67b364e53ec2	Atomoxetine	CC1=C(C=CC=C1)O[C@H](CCNC)C2=CC=CC=C2	CNCC[C@@H](Oc1ccccc1C)c1ccccc1	19.74	d	true	>					6.0	pH			50.0	mL				7.1	7.1	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
21	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/scenario/c3f4e106-97e4-48ff-8815-b3ded5e9b3b8	https://envipath.org/package/195bc500-f0c6-4bcb-b2fe-f1602b5f20a2/compound/5b9f70cb-c231-4fa9-8289-c1cd5bf7380d/structure/0a38220d-6af1-46d9-b495-5547149debf9	Atovaquone	C1=CC2=C(C=C1)C(=O)C(=O)C(=C2O)C3CCC(CC3)C4=CC=C(C=C4)Cl	O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1	1.815	d	true	no comment					8.3	pH			50.0	mL				0.6	0.6	g/L		nitrification & denitrification & biological phosphorus removal	bottle	100.0	mL								aerob		spiking in solvent	bubbling air and stirring		Dübendorf	municipal WW
