index	scenario_id	compound_id	compound_name	smiles	canonicalize_smiles	halflife	halflife_unit	halflife_model	halflife_comment	rateconstant	rateconstant_unit	rateconstant_comment	reaction_order	acidity	acidity_unit	temperature	temperature_unit	original_sludge_amount	original_sludge_amount_unit	sludge_retention_time	sludge_retention_time_unit	sludge_retention_time_type	total_suspended_solids_concentration_start	total_suspended_solids_concentration_end	total_suspended_solids_concentration_unit	addition_of_nutrients	biological_treatment_technology	bioreactor_type	bioreactor_value	bioreactor_value_unit	nitrogen_content_type	nitrogen_content_influent	oxygen_demand_type	oxygen_demand_value	oxygen_uptake_rate	oxygen_uptake_rate_unit	phosphorus_content	redox	source_of_liquid_matrix	type_of_addition	type_of_aeration	inoculum_source	location	purpose_of_wwtp
22	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/28d1b8c7-ea58-48a4-9ded-f00e86d76622	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4a50aa61-7c74-4175-a612-dcb4995c9d20/structure/9f15bd3e-0fca-4805-aaa8-d102fc735574	Bupropion	CC(C(=O)C1=CC=CC(=C1)Cl)NC(C)(C)C	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1					0.056	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
23	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/591c4f4a-eb06-4e0f-944e-6821ef435843	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4a50aa61-7c74-4175-a612-dcb4995c9d20/structure/9f15bd3e-0fca-4805-aaa8-d102fc735574	Bupropion	CC(C(=O)C1=CC=CC(=C1)Cl)NC(C)(C)C	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1					2.3	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
24	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/3113ed65-8a67-4858-bbca-e8f21daecb6f	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/4a50aa61-7c74-4175-a612-dcb4995c9d20/structure/9f15bd3e-0fca-4805-aaa8-d102fc735574	Bupropion	CC(C(=O)C1=CC=CC(=C1)Cl)NC(C)(C)C	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1					0.066	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
25	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/259d766f-b0c3-4b18-a460-ec1004fb9e86	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/832082ac-65ae-4840-a5a0-52bbe9400730/structure/66fe55e6-69cf-47ab-8acd-67f23898de05	Coumarin	C1=CC2=C(C=C1)OC(=O)C=C2	O=c1ccc2ccccc2o1					11.0	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
26	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/4149957b-4778-4502-a11a-21390539c6d5	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/832082ac-65ae-4840-a5a0-52bbe9400730/structure/66fe55e6-69cf-47ab-8acd-67f23898de05	Coumarin	C1=CC2=C(C=C1)OC(=O)C=C2	O=c1ccc2ccccc2o1					4.699999999999999	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
27	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/d64ff7aa-40e4-44e5-ad8b-39a04b22059a	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/832082ac-65ae-4840-a5a0-52bbe9400730/structure/66fe55e6-69cf-47ab-8acd-67f23898de05	Coumarin	C1=CC2=C(C=C1)OC(=O)C=C2	O=c1ccc2ccccc2o1					5.65	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
28	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/a190d20f-177a-42fe-9894-e981339e6f5b	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/891a0519-9ea4-49db-a79b-bce3f2a40e72/structure/0ba3ae93-a4a0-434e-a858-77b29203c0c7	DEET	CCN(CC)C(=O)C1=CC(=CC=C1)C	CCN(CC)C(=O)c1cccc(C)c1					0.095	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				1.02	1.02	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
29	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/1c953c09-6dd5-49f8-a434-39c36c137d19	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/891a0519-9ea4-49db-a79b-bce3f2a40e72/structure/0ba3ae93-a4a0-434e-a858-77b29203c0c7	DEET	CCN(CC)C(=O)C1=CC(=CC=C1)C	CCN(CC)C(=O)c1cccc(C)c1					0.38	1 / day	no comment	First order	7.3	pH	20.0	℃	28.8	mL				3.49	3.49	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
30	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/203b3d25-2f81-458a-8fa8-46d2144b652c	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/891a0519-9ea4-49db-a79b-bce3f2a40e72/structure/0ba3ae93-a4a0-434e-a858-77b29203c0c7	DEET	CCN(CC)C(=O)C1=CC(=CC=C1)C	CCN(CC)C(=O)c1cccc(C)c1					1.24	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
31	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/scenario/ced753a2-16db-45f9-83e9-01540f202dec	https://envipath.org/package/8d3d7ca2-ae4e-4779-a6a2-d3539237c439/compound/124a0bd9-2ffe-4050-9e95-5430494dc186/structure/202c5433-fb1b-449a-bd95-5b283813559c	Dehydroacetic acid	CC1=CC(=O)C(C(=O)C)C(=O)O1	CC(=O)C1C(=O)C=C(C)OC1=O					0.203	1 / day	no comment	First order	7.5	pH	20.0	℃	28.8	mL				0.95	0.95	g/L			bottle	100.0	mL								aerob		spiking in solvent	shaking	center of each aeration basin	New York State	
