	index	scenario_id	compound_id	smiles	reduced_smiles	halflife_comment	halflife_model	acidity	temperature	halflife	halflife_log	hl_log_gmean	hl_log_median	hl_log_std	hl_log_spread	acidity_std	temperature_std	biomass_log_std	hl_bayesian_mean	hl_bayesian_std	package
10	11	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/92483749-8ff0-404e-81cf-e4271e12fb9b	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C		First order	7.8	30.0	3.3977802968624773	0.5311952936192397	0.0458345587646281	-0.0834538250167432	0.1136433290078624	0.8414330859278515			0.9428090415820636	0.06	0.6	0
11	12	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/bec643d4-8f4b-4ba2-9cf5-01cd2773bd0a	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/4af77772-2357-4f4f-ba05-4ec351ed63a3/structure/2d049a40-4801-48ce-9e78-e814eceade30	C#C[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=CC=C4[C@H]3CC[C@@]21C)O)O	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C		First order	7.8	30.0	0.4895107207344246	-0.3102377923086118	0.0458345587646281	-0.0834538250167432	0.1136433290078624	0.8414330859278515			0.9428090415820636	0.06	0.6	0
12	13	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/1ba1e5b7-cb73-4f8c-923f-08f57b6d9713	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1		Pseudo first order	7.0	25.0	0.9082618228026867	-0.0417889402370075	-0.1763710272331938	-0.0372253835500529	-0.4938258496690901	0.6625365683946994			0.112583302491977	-0.18	0.43	0
13	14	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/a119c714-3acf-42a7-bfa6-1e0f4be74586	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1		Pseudo first order	7.0	25.0	0.9274504528618986	-0.0327092823850891	-0.1763710272331938	-0.0372253835500529	-0.4938258496690901	0.6625365683946994			0.112583302491977	-0.18	0.43	0
14	16	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/e2c61ba7-4d3c-4734-95b1-98d710e2f98e	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1		Pseudo first order	7.0	25.0	1.0369918449322015	0.0157753410420104	-0.1763710272331938	-0.0372253835500529	-0.4938258496690901	0.6625365683946994			0.112583302491977	-0.18	0.43	0
15	17	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/3cdbe39a-20f9-464d-afb4-bed23075f760	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/b7c54076-544f-436f-839b-5bd9e310a150/structure/ef666eff-d46e-46d2-8229-69b6d2ab6059	CC1=CC(=O)[N-]S(=O)(=O)O1	CC1=CC(=O)NS(=O)(=O)O1		Pseudo first order	7.0	25.0	0.2255478920869663	-0.646761227352689	-0.1763710272331938	-0.0372253835500529	-0.4938258496690901	0.6625365683946994			0.112583302491977	-0.18	0.43	0
16	18	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/c9413c34-d449-46c9-a7f5-ed9f3fd21c4f	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/9c098f0a-18ff-4275-ab86-bce23ff03d52/structure/dede33ef-5141-4714-ae9a-e9cf8f71d608	C(COCN1C=NC2=C1NC(=NC2=O)N)O	Nc1nc(=O)c2ncn(COCCO)c2[nH]1	no comment	Pseudo first order	7.0	22.0	0.22	-0.6575773191777937	-0.6575773191777937	-0.6575773191777937		0.0				-0.61	0.71	0
17	19	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/8525f7f9-4541-4dfa-aba3-b84f533b17be	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/608dd5f6-0a7b-45d8-8034-1951618a6e78/structure/3d95fc46-7719-4eaf-a013-e05c1f1eeb06	CCC1=CC=CC(=C1N(CCOC)C(=O)CCl)CC	CCc1cccc(CC)c1N(CCOC)C(=O)CCl		First order	8.0		0.2586370076716213	-0.5873093329836505	-0.5873093329836506	-0.5873093329836506		0.0				-0.54	0.76	0
18	20	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/3009a5ec-4946-48fb-967f-a0c8be940511	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1		Pseudo first order	7.1	23.0	1.330282467741309	0.1239438674004173	-0.269163137898279	-0.3420452212713866	0.9430982346698654	2.8926510338773004	0.6771790225423616	0.8112726208286107	3.1145232543747072	-0.4	1.12	0
19	21	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/scenario/41b9b96d-2eeb-446d-899e-1e35f313fd7c	https://envipath.org/package/4a3cd0f4-4d2b-4f00-b3e6-a29e721f7038/compound/3f9f29ac-acd7-490c-8deb-6a863a7c1739/structure/f904b853-fa2c-474a-a51f-4e6405aad87c	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1		Pseudo first order	6.3	21.0	4.200892003393608	0.6233415168312321	-0.269163137898279	-0.3420452212713866	0.9430982346698654	2.8926510338773004	0.6771790225423616	0.8112726208286107	3.1145232543747072	-0.4	1.12	0
